Job_Title,Company,City,Experience_Level,Skills_Required,Education_Required,Clean_Skills,Search_Text
Java Developer,ISRO,Hyderabad,Mid (3-6 yrs),"Spring Boot, REST APIs, Microservices, Java, SQL",B.Tech/B.E.,spring boot rest apis microservices java sql,Java Developer spring boot rest apis microservices java sql B.Tech/B.E. Mid (3-6 yrs)
Python Developer,Darwinbox,Delhi,Senior (6-10 yrs),"AWS, PostgreSQL, Docker, Django, Python",M.Tech/M.E.,aws postgresql docker django python,Python Developer aws postgresql docker django python M.Tech/M.E. Senior (6-10 yrs)
Backend Developer,Freshworks,Mumbai,Lead (10+ yrs),"Docker, MongoDB, Java, FastAPI, Node.js, Python",M.Tech/M.E.,docker mongodb java fastapi nodejs python,Backend Developer docker mongodb java fastapi nodejs python M.Tech/M.E. Lead (10+ yrs)
Node.js Developer,BSNL,Bangalore,Lead (10+ yrs),"Node.js, REST APIs, JavaScript, Express.js",B.Com + Certification,nodejs rest apis javascript expressjs,Node.js Developer nodejs rest apis javascript expressjs B.Com + Certification Lead (10+ yrs)
DevOps Engineer,Accenture,Chennai,Lead (10+ yrs),"AWS, Jenkins, Terraform, Ansible",MBA,aws jenkins terraform ansible,DevOps Engineer aws jenkins terraform ansible MBA Lead (10+ yrs)
Computer Vision Engineer,Zoho,Delhi,Fresher (0-1 yr),"TensorFlow, OpenCV, Python, Deep Learning, YOLO",B.Sc (CS/IT),tensorflow opencv python deep learning yolo,Computer Vision Engineer tensorflow opencv python deep learning yolo B.Sc (CS/IT) Fresher (0-1 yr)
Data Analyst,HAL,Bangalore,Senior (6-10 yrs),"Excel, Python, SQL, Power BI, Tableau, Statistics",MCA,excel python sql power bi tableau statistic,Data Analyst excel python sql power bi tableau statistic MCA Senior (6-10 yrs)
Software Engineer,HCL Technologies,Chennai,Mid (3-6 yrs),"System Design, Git, REST APIs, Data Structures, C++, Java",B.Tech/B.E.,system design git rest apis data structure c java,Software Engineer system design git rest apis data structure c java B.Tech/B.E. Mid (3-6 yrs)
Full Stack Developer,BSNL,Mumbai,Junior (1-3 yrs),"Node.js, PostgreSQL, Python, AWS, MongoDB, React",PhD,nodejs postgresql python aws mongodb react,Full Stack Developer nodejs postgresql python aws mongodb react PhD Junior (1-3 yrs)
Research Scientist,Hasura,Remote,Junior (1-3 yrs),"NLP, Publications, PyTorch",B.Tech/B.E.,nlp publication pytorch,Research Scientist nlp publication pytorch B.Tech/B.E. Junior (1-3 yrs)
Research Scientist,Amazon,Chandigarh,Senior (6-10 yrs),"Statistics, R, Deep Learning",M.Tech/M.E.,statistic r deep learning,Research Scientist statistic r deep learning M.Tech/M.E. Senior (6-10 yrs)
Computer Vision Engineer,Fi Money,Hyderabad,Mid (3-6 yrs),"OpenCV, YOLO, Python",B.Com + Certification,opencv yolo python,Computer Vision Engineer opencv yolo python B.Com + Certification Mid (3-6 yrs)
QA Engineer,Chargebee,Remote,Mid (3-6 yrs),"JIRA, Manual Testing, API Testing, Python",B.Tech/B.E.,jira manual testing api testing python,QA Engineer jira manual testing api testing python B.Tech/B.E. Mid (3-6 yrs)
Cloud Engineer,PhonePe,Mumbai,Senior (6-10 yrs),"Terraform, GCP, AWS, Docker, Azure, Linux",B.Tech/B.E.,terraform gcp aws docker azure linux,Cloud Engineer terraform gcp aws docker azure linux B.Tech/B.E. Senior (6-10 yrs)
QA Engineer,BSNL,Remote,Fresher (0-1 yr),"API Testing, JIRA, Selenium",BCA,api testing jira selenium,QA Engineer api testing jira selenium BCA Fresher (0-1 yr)
Java Developer,Oracle,Delhi,Mid (3-6 yrs),"Java, REST APIs, Hibernate, Maven, SQL, Microservices",BCA,java rest apis hibernate maven sql microservices,Java Developer java rest apis hibernate maven sql microservices BCA Mid (3-6 yrs)
Data Scientist,Cisco,Remote,Junior (1-3 yrs),"Machine Learning, SQL, Python, Pandas",MCA,machine learning sql python panda,Data Scientist machine learning sql python panda MCA Junior (1-3 yrs)
Technical Lead,Zerodha,Chennai,Mid (3-6 yrs),"Code Review, AWS, System Design, Agile, Microservices, Team Leadership",MCA,code review aws system design agile microservices team leadership,Technical Lead code review aws system design agile microservices team leadership MCA Mid (3-6 yrs)
DevOps Engineer,Chargebee,Jaipur,Mid (3-6 yrs),"Terraform, Jenkins, Docker, Ansible, Linux, Kubernetes",MBA,terraform jenkins docker ansible linux kubernetes,DevOps Engineer terraform jenkins docker ansible linux kubernetes MBA Mid (3-6 yrs)
Product Manager,BSNL,Pune,Mid (3-6 yrs),"A/B Testing, Agile, Product Strategy, User Research, SQL",MCA,ab testing agile product strategy user research sql,Product Manager ab testing agile product strategy user research sql MCA Mid (3-6 yrs)
Machine Learning Engineer,Tech Mahindra,Nagpur,Fresher (0-1 yr),"Python, PyTorch, Scikit-learn, TensorFlow, MLOps, AWS",B.Tech/B.E.,python pytorch scikitlearn tensorflow mlops aws,Machine Learning Engineer python pytorch scikitlearn tensorflow mlops aws B.Tech/B.E. Fresher (0-1 yr)
Product Manager,ONGC,Remote,Mid (3-6 yrs),"Roadmapping, Agile, Product Strategy, SQL",BCA,roadmapping agile product strategy sql,Product Manager roadmapping agile product strategy sql BCA Mid (3-6 yrs)
Data Engineer,Setu,Hyderabad,Senior (6-10 yrs),"Python, Kafka, Spark, ETL, AWS, dbt",B.Tech/B.E.,python kafka spark etl aws dbt,Data Engineer python kafka spark etl aws dbt B.Tech/B.E. Senior (6-10 yrs)
Full Stack Developer,Khatabook,Mumbai,Lead (10+ yrs),"React, MongoDB, AWS, Node.js",B.Tech/B.E.,react mongodb aws nodejs,Full Stack Developer react mongodb aws nodejs B.Tech/B.E. Lead (10+ yrs)
Business Analyst,Hasura,Chandigarh,Senior (6-10 yrs),"Agile, SQL, Excel",B.Tech/B.E.,agile sql excel,Business Analyst agile sql excel B.Tech/B.E. Senior (6-10 yrs)
Full Stack Developer,Tech Mahindra,Remote,Junior (1-3 yrs),"MongoDB, AWS, React, PostgreSQL, Node.js",MCA,mongodb aws react postgresql nodejs,Full Stack Developer mongodb aws react postgresql nodejs MCA Junior (1-3 yrs)
Data Analyst,Postman,Hyderabad,Lead (10+ yrs),"SQL, Power BI, Statistics, Python",BCA,sql power bi statistic python,Data Analyst sql power bi statistic python BCA Lead (10+ yrs)
Data Engineer,Fi Money,Bhubaneswar,Junior (1-3 yrs),"AWS, Airflow, dbt, Spark, SQL",B.Sc (CS/IT),aws airflow dbt spark sql,Data Engineer aws airflow dbt spark sql B.Sc (CS/IT) Junior (1-3 yrs)
Computer Vision Engineer,Google,Bangalore,Junior (1-3 yrs),"Python, YOLO, Deep Learning, OpenCV, PyTorch, TensorFlow",B.Tech/B.E.,python yolo deep learning opencv pytorch tensorflow,Computer Vision Engineer python yolo deep learning opencv pytorch tensorflow B.Tech/B.E. Junior (1-3 yrs)
Data Analyst,Flipkart,Mumbai,Mid (3-6 yrs),"Tableau, SQL, Power BI, Data Visualization, Statistics, Excel",B.Com + Certification,tableau sql power bi data visualization statistic excel,Data Analyst tableau sql power bi data visualization statistic excel B.Com + Certification Mid (3-6 yrs)
Backend Developer,HCL Technologies,Chandigarh,Junior (1-3 yrs),"Django, Python, PostgreSQL, Java, Docker",MCA,django python postgresql java docker,Backend Developer django python postgresql java docker MCA Junior (1-3 yrs)
Technical Lead,Microsoft,Remote,Junior (1-3 yrs),"Team Leadership, Agile, System Design, AWS, Code Review, Microservices",BCA,team leadership agile system design aws code review microservices,Technical Lead team leadership agile system design aws code review microservices BCA Junior (1-3 yrs)
DevOps Engineer,ONGC,Remote,Senior (6-10 yrs),"Terraform, Kubernetes, Docker",B.Sc (CS/IT),terraform kubernetes docker,DevOps Engineer terraform kubernetes docker B.Sc (CS/IT) Senior (6-10 yrs)
Full Stack Developer,Swiggy,Mumbai,Mid (3-6 yrs),"PostgreSQL, Python, React, Node.js, REST APIs, MongoDB",B.Tech/B.E.,postgresql python react nodejs rest apis mongodb,Full Stack Developer postgresql python react nodejs rest apis mongodb B.Tech/B.E. Mid (3-6 yrs)
Node.js Developer,Ola,Remote,Junior (1-3 yrs),"TypeScript, JavaScript, MongoDB, REST APIs",MCA,typescript javascript mongodb rest apis,Node.js Developer typescript javascript mongodb rest apis MCA Junior (1-3 yrs)
MLOps Engineer,TCS,Chennai,Fresher (0-1 yr),"Airflow, Python, Docker, Kubernetes, MLflow",B.Tech/B.E.,airflow python docker kubernetes mlflow,MLOps Engineer airflow python docker kubernetes mlflow B.Tech/B.E. Fresher (0-1 yr)
Full Stack Developer,Accenture,Hyderabad,Fresher (0-1 yr),"MongoDB, PostgreSQL, Node.js",BCA,mongodb postgresql nodejs,Full Stack Developer mongodb postgresql nodejs BCA Fresher (0-1 yr)
Frontend Developer,Microsoft,Hyderabad,Lead (10+ yrs),"JavaScript, Figma, React, HTML/CSS, TypeScript, Next.js",M.Tech/M.E.,javascript figma react htmlcss typescript nextjs,Frontend Developer javascript figma react htmlcss typescript nextjs M.Tech/M.E. Lead (10+ yrs)
Java Developer,Capgemini,Mumbai,Junior (1-3 yrs),"Spring Boot, REST APIs, Microservices, Java, Maven",M.Tech/M.E.,spring boot rest apis microservices java maven,Java Developer spring boot rest apis microservices java maven M.Tech/M.E. Junior (1-3 yrs)
Data Analyst,NTPC,Remote,Senior (6-10 yrs),"Excel, Power BI, Python, SQL, Data Visualization, Tableau",M.Tech/M.E.,excel power bi python sql data visualization tableau,Data Analyst excel power bi python sql data visualization tableau M.Tech/M.E. Senior (6-10 yrs)
Java Developer,Urban Company,Remote,Senior (6-10 yrs),"Microservices, SQL, Maven, Hibernate, REST APIs, Java",B.Tech/B.E.,microservices sql maven hibernate rest apis java,Java Developer microservices sql maven hibernate rest apis java B.Tech/B.E. Senior (6-10 yrs)
Product Manager,PhonePe,Remote,Senior (6-10 yrs),"A/B Testing, JIRA, Product Strategy, Roadmapping, SQL",B.Tech/B.E.,ab testing jira product strategy roadmapping sql,Product Manager ab testing jira product strategy roadmapping sql B.Tech/B.E. Senior (6-10 yrs)
Cloud Engineer,Wipro,Bhubaneswar,Junior (1-3 yrs),"Kubernetes, AWS, GCP",M.Tech/M.E.,kubernetes aws gcp,Cloud Engineer kubernetes aws gcp M.Tech/M.E. Junior (1-3 yrs)
Data Scientist,Groww,Remote,Senior (6-10 yrs),"Deep Learning, TensorFlow, Machine Learning, Scikit-learn, Pandas",B.Tech/B.E.,deep learning tensorflow machine learning scikitlearn panda,Data Scientist deep learning tensorflow machine learning scikitlearn panda B.Tech/B.E. Senior (6-10 yrs)
QA Engineer,Capgemini,Nagpur,Fresher (0-1 yr),"Selenium, JIRA, API Testing, Manual Testing, Python, Postman",M.Tech/M.E.,selenium jira api testing manual testing python postman,QA Engineer selenium jira api testing manual testing python postman M.Tech/M.E. Fresher (0-1 yr)
UI/UX Designer,Razorpay,Hyderabad,Senior (6-10 yrs),"CSS, User Research, Wireframing",B.Tech/B.E.,cs user research wireframing,UI/UX Designer cs user research wireframing B.Tech/B.E. Senior (6-10 yrs)
Software Engineer,Zerodha,Remote,Fresher (0-1 yr),"Git, Java, Data Structures, System Design",B.Tech/B.E.,git java data structure system design,Software Engineer git java data structure system design B.Tech/B.E. Fresher (0-1 yr)
Frontend Developer,PhonePe,Delhi,Junior (1-3 yrs),"HTML/CSS, TypeScript, React, JavaScript, Figma",B.Tech/B.E.,htmlcss typescript react javascript figma,Frontend Developer htmlcss typescript react javascript figma B.Tech/B.E. Junior (1-3 yrs)
Business Analyst,Amazon,Remote,Junior (1-3 yrs),"Excel, JIRA, Power BI",B.Tech/B.E.,excel jira power bi,Business Analyst excel jira power bi B.Tech/B.E. Junior (1-3 yrs)
Product Manager,Wipro,Remote,Junior (1-3 yrs),"A/B Testing, JIRA, SQL, Product Strategy",M.Tech/M.E.,ab testing jira sql product strategy,Product Manager ab testing jira sql product strategy M.Tech/M.E. Junior (1-3 yrs)
Data Analyst,Leadsquared,Remote,Lead (10+ yrs),"Statistics, SQL, Python, Excel, Data Visualization",MCA,statistic sql python excel data visualization,Data Analyst statistic sql python excel data visualization MCA Lead (10+ yrs)
Backend Developer,Ola,Ahmedabad,Senior (6-10 yrs),"Java, FastAPI, Docker, Python, Redis, MongoDB",B.Sc (CS/IT),java fastapi docker python redis mongodb,Backend Developer java fastapi docker python redis mongodb B.Sc (CS/IT) Senior (6-10 yrs)
Data Scientist,TCS,Delhi,Senior (6-10 yrs),"Tableau, Pandas, Deep Learning",M.Tech/M.E.,tableau panda deep learning,Data Scientist tableau panda deep learning M.Tech/M.E. Senior (6-10 yrs)
Data Scientist,Oracle,Nagpur,Fresher (0-1 yr),"Machine Learning, Python, Statistics, NLP, Tableau",BCA,machine learning python statistic nlp tableau,Data Scientist machine learning python statistic nlp tableau BCA Fresher (0-1 yr)
Frontend Developer,Slice,Delhi,Fresher (0-1 yr),"Next.js, HTML/CSS, Tailwind CSS, TypeScript, Figma",M.Tech/M.E.,nextjs htmlcss tailwind cs typescript figma,Frontend Developer nextjs htmlcss tailwind cs typescript figma M.Tech/M.E. Fresher (0-1 yr)
Business Analyst,CRED,Remote,Junior (1-3 yrs),"JIRA, Agile, Power BI, SQL, Excel, Requirements Gathering",BCA,jira agile power bi sql excel requirement gathering,Business Analyst jira agile power bi sql excel requirement gathering BCA Junior (1-3 yrs)
Cloud Engineer,Urban Company,Coimbatore,Mid (3-6 yrs),"AWS, Terraform, Azure, Linux",M.Tech/M.E.,aws terraform azure linux,Cloud Engineer aws terraform azure linux M.Tech/M.E. Mid (3-6 yrs)
Node.js Developer,Infosys,Remote,Mid (3-6 yrs),"MongoDB, JavaScript, TypeScript, Express.js, Node.js",B.Tech/B.E.,mongodb javascript typescript expressjs nodejs,Node.js Developer mongodb javascript typescript expressjs nodejs B.Tech/B.E. Mid (3-6 yrs)
AI Engineer,Fi Money,Chennai,Lead (10+ yrs),"Python, Vector DBs, RAG",M.Tech/M.E.,python vector db rag,AI Engineer python vector db rag M.Tech/M.E. Lead (10+ yrs)
Android Developer,Byju's,Remote,Senior (6-10 yrs),"Jetpack Compose, Firebase, Android SDK, Java, Kotlin, REST APIs",B.Tech/B.E.,jetpack compose firebase android sdk java kotlin rest apis,Android Developer jetpack compose firebase android sdk java kotlin rest apis B.Tech/B.E. Senior (6-10 yrs)
Python Developer,Paytm,Bangalore,Junior (1-3 yrs),"Django, REST APIs, PostgreSQL, AWS, FastAPI, Docker",M.Tech/M.E.,django rest apis postgresql aws fastapi docker,Python Developer django rest apis postgresql aws fastapi docker M.Tech/M.E. Junior (1-3 yrs)
React Developer,BEL,Mumbai,Junior (1-3 yrs),"HTML/CSS, TypeScript, React",BCA,htmlcss typescript react,React Developer htmlcss typescript react BCA Junior (1-3 yrs)
Data Engineer,BrowserStack,Remote,Mid (3-6 yrs),"dbt, AWS, SQL, Python, ETL, Airflow",M.Tech/M.E.,dbt aws sql python etl airflow,Data Engineer dbt aws sql python etl airflow M.Tech/M.E. Mid (3-6 yrs)
MLOps Engineer,Capgemini,Jaipur,Junior (1-3 yrs),"AWS, Airflow, Docker, Kubernetes, MLflow",M.Tech/M.E.,aws airflow docker kubernetes mlflow,MLOps Engineer aws airflow docker kubernetes mlflow M.Tech/M.E. Junior (1-3 yrs)
Computer Vision Engineer,Leadsquared,Jaipur,Lead (10+ yrs),"OpenCV, Python, Deep Learning, PyTorch, TensorFlow, YOLO",B.Sc (CS/IT),opencv python deep learning pytorch tensorflow yolo,Computer Vision Engineer opencv python deep learning pytorch tensorflow yolo B.Sc (CS/IT) Lead (10+ yrs)
Python Developer,Nykaa,Mumbai,Mid (3-6 yrs),"Docker, FastAPI, AWS, Python, Django",MCA,docker fastapi aws python django,Python Developer docker fastapi aws python django MCA Mid (3-6 yrs)
Data Analyst,Cisco,Remote,Mid (3-6 yrs),"Data Visualization, SQL, Excel, Tableau, Power BI",B.Com + Certification,data visualization sql excel tableau power bi,Data Analyst data visualization sql excel tableau power bi B.Com + Certification Mid (3-6 yrs)
Technical Lead,Paytm,Bhubaneswar,Mid (3-6 yrs),"Microservices, Team Leadership, Code Review, AWS",B.Tech/B.E.,microservices team leadership code review aws,Technical Lead microservices team leadership code review aws B.Tech/B.E. Mid (3-6 yrs)
MLOps Engineer,Cisco,Remote,Senior (6-10 yrs),"Airflow, Kubernetes, Python",B.Sc (CS/IT),airflow kubernetes python,MLOps Engineer airflow kubernetes python B.Sc (CS/IT) Senior (6-10 yrs)
iOS Developer,Urban Company,Kochi,Junior (1-3 yrs),"SwiftUI, Swift, REST APIs, Xcode, Firebase, Core Data",BCA,swiftui swift rest apis xcode firebase core data,iOS Developer swiftui swift rest apis xcode firebase core data BCA Junior (1-3 yrs)
Node.js Developer,Hasura,Mumbai,Junior (1-3 yrs),"TypeScript, MongoDB, Express.js, JavaScript, REST APIs",B.Tech/B.E.,typescript mongodb expressjs javascript rest apis,Node.js Developer typescript mongodb expressjs javascript rest apis B.Tech/B.E. Junior (1-3 yrs)
Frontend Developer,Dream11,Coimbatore,Fresher (0-1 yr),"Tailwind CSS, HTML/CSS, TypeScript",M.Tech/M.E.,tailwind cs htmlcss typescript,Frontend Developer tailwind cs htmlcss typescript M.Tech/M.E. Fresher (0-1 yr)
Data Scientist,Wipro,Pune,Fresher (0-1 yr),"Statistics, TensorFlow, NLP",B.Tech/B.E.,statistic tensorflow nlp,Data Scientist statistic tensorflow nlp B.Tech/B.E. Fresher (0-1 yr)
MLOps Engineer,Zerodha,Kochi,Junior (1-3 yrs),"MLflow, Python, Kubernetes, AWS, Docker, CI/CD",B.Sc (CS/IT),mlflow python kubernetes aws docker cicd,MLOps Engineer mlflow python kubernetes aws docker cicd B.Sc (CS/IT) Junior (1-3 yrs)
UI/UX Designer,Freshworks,Remote,Mid (3-6 yrs),"Wireframing, CSS, Prototyping, Figma, User Research, Adobe XD",BCA,wireframing cs prototyping figma user research adobe xd,UI/UX Designer wireframing cs prototyping figma user research adobe xd BCA Mid (3-6 yrs)
Java Developer,BSNL,Kolkata,Fresher (0-1 yr),"Spring Boot, REST APIs, Hibernate",M.Tech/M.E.,spring boot rest apis hibernate,Java Developer spring boot rest apis hibernate M.Tech/M.E. Fresher (0-1 yr)
Computer Vision Engineer,Cognizant,Remote,Junior (1-3 yrs),"TensorFlow, OpenCV, Deep Learning",B.Tech/B.E.,tensorflow opencv deep learning,Computer Vision Engineer tensorflow opencv deep learning B.Tech/B.E. Junior (1-3 yrs)
React Developer,HAL,Remote,Senior (6-10 yrs),"Redux, JavaScript, React, TypeScript",B.Tech/B.E.,redux javascript react typescript,React Developer redux javascript react typescript B.Tech/B.E. Senior (6-10 yrs)
DevOps Engineer,Urban Company,Mumbai,Mid (3-6 yrs),"Terraform, Ansible, Docker",B.Tech/B.E.,terraform ansible docker,DevOps Engineer terraform ansible docker B.Tech/B.E. Mid (3-6 yrs)
Java Developer,Wipro,Remote,Junior (1-3 yrs),"SQL, Microservices, REST APIs, Hibernate, Spring Boot",MCA,sql microservices rest apis hibernate spring boot,Java Developer sql microservices rest apis hibernate spring boot MCA Junior (1-3 yrs)
Product Manager,HCL Technologies,Delhi,Junior (1-3 yrs),"Agile, JIRA, Product Strategy, User Research",M.Tech/M.E.,agile jira product strategy user research,Product Manager agile jira product strategy user research M.Tech/M.E. Junior (1-3 yrs)
Frontend Developer,Oracle,Chandigarh,Fresher (0-1 yr),"Next.js, JavaScript, React",M.Tech/M.E.,nextjs javascript react,Frontend Developer nextjs javascript react M.Tech/M.E. Fresher (0-1 yr)
UI/UX Designer,Swiggy,Remote,Mid (3-6 yrs),"Adobe XD, Figma, Prototyping, CSS, Wireframing, User Research",M.Tech/M.E.,adobe xd figma prototyping cs wireframing user research,UI/UX Designer adobe xd figma prototyping cs wireframing user research M.Tech/M.E. Mid (3-6 yrs)
Full Stack Developer,Accenture,Remote,Junior (1-3 yrs),"MongoDB, AWS, Docker, React",M.Tech/M.E.,mongodb aws docker react,Full Stack Developer mongodb aws docker react M.Tech/M.E. Junior (1-3 yrs)
Data Scientist,Wipro,Mumbai,Lead (10+ yrs),"Pandas, Machine Learning, NLP",B.Com + Certification,panda machine learning nlp,Data Scientist panda machine learning nlp B.Com + Certification Lead (10+ yrs)
Data Scientist,Flipkart,Bangalore,Junior (1-3 yrs),"Scikit-learn, Statistics, NLP, Tableau, Pandas, TensorFlow",PhD,scikitlearn statistic nlp tableau panda tensorflow,Data Scientist scikitlearn statistic nlp tableau panda tensorflow PhD Junior (1-3 yrs)
Full Stack Developer,Setu,Pune,Fresher (0-1 yr),"Node.js, React, REST APIs",B.Com + Certification,nodejs react rest apis,Full Stack Developer nodejs react rest apis B.Com + Certification Fresher (0-1 yr)
Software Engineer,Urban Company,Hyderabad,Lead (10+ yrs),"Git, System Design, C++, REST APIs, Python",BCA,git system design c rest apis python,Software Engineer git system design c rest apis python BCA Lead (10+ yrs)
Java Developer,InMobi,Kolkata,Junior (1-3 yrs),"Spring Boot, Hibernate, REST APIs, Maven, Microservices",MCA,spring boot hibernate rest apis maven microservices,Java Developer spring boot hibernate rest apis maven microservices MCA Junior (1-3 yrs)
Full Stack Developer,Darwinbox,Hyderabad,Senior (6-10 yrs),"Docker, AWS, Python, PostgreSQL, React, Node.js",PhD,docker aws python postgresql react nodejs,Full Stack Developer docker aws python postgresql react nodejs PhD Senior (6-10 yrs)
Python Developer,BrowserStack,Hyderabad,Junior (1-3 yrs),"AWS, PostgreSQL, FastAPI, Django, REST APIs, Docker",B.Tech/B.E.,aws postgresql fastapi django rest apis docker,Python Developer aws postgresql fastapi django rest apis docker B.Tech/B.E. Junior (1-3 yrs)
iOS Developer,Capgemini,Remote,Fresher (0-1 yr),"SwiftUI, Xcode, Core Data, Firebase",B.Tech/B.E.,swiftui xcode core data firebase,iOS Developer swiftui xcode core data firebase B.Tech/B.E. Fresher (0-1 yr)
Full Stack Developer,Microsoft,Pune,Mid (3-6 yrs),"PostgreSQL, Node.js, Docker, Python, MongoDB",MBA,postgresql nodejs docker python mongodb,Full Stack Developer postgresql nodejs docker python mongodb MBA Mid (3-6 yrs)
MLOps Engineer,Paytm,Chennai,Fresher (0-1 yr),"Airflow, Docker, MLflow",BCA,airflow docker mlflow,MLOps Engineer airflow docker mlflow BCA Fresher (0-1 yr)
Node.js Developer,Swiggy,Remote,Fresher (0-1 yr),"TypeScript, Express.js, Node.js, REST APIs, JavaScript, MongoDB",B.Tech/B.E.,typescript expressjs nodejs rest apis javascript mongodb,Node.js Developer typescript expressjs nodejs rest apis javascript mongodb B.Tech/B.E. Fresher (0-1 yr)
Node.js Developer,CRED,Ahmedabad,Fresher (0-1 yr),"REST APIs, TypeScript, Express.js, JavaScript, MongoDB",BCA,rest apis typescript expressjs javascript mongodb,Node.js Developer rest apis typescript expressjs javascript mongodb BCA Fresher (0-1 yr)
DevOps Engineer,Urban Company,Jaipur,Lead (10+ yrs),"Docker, Kubernetes, AWS, Terraform, Jenkins",MBA,docker kubernetes aws terraform jenkins,DevOps Engineer docker kubernetes aws terraform jenkins MBA Lead (10+ yrs)
Software Engineer,Nykaa,Delhi,Mid (3-6 yrs),"Data Structures, C++, Python, Algorithms",B.Tech/B.E.,data structure c python algorithm,Software Engineer data structure c python algorithm B.Tech/B.E. Mid (3-6 yrs)
Full Stack Developer,Slice,Pune,Junior (1-3 yrs),"MongoDB, Node.js, Python, Docker",MCA,mongodb nodejs python docker,Full Stack Developer mongodb nodejs python docker MCA Junior (1-3 yrs)
Android Developer,Microsoft,Bangalore,Junior (1-3 yrs),"Kotlin, Jetpack Compose, REST APIs",B.Tech/B.E.,kotlin jetpack compose rest apis,Android Developer kotlin jetpack compose rest apis B.Tech/B.E. Junior (1-3 yrs)
Data Engineer,TCS,Remote,Senior (6-10 yrs),"Kafka, SQL, dbt",B.Tech/B.E.,kafka sql dbt,Data Engineer kafka sql dbt B.Tech/B.E. Senior (6-10 yrs)
Data Engineer,Infosys,Remote,Junior (1-3 yrs),"SQL, ETL, Kafka, Spark, Python",B.Tech/B.E.,sql etl kafka spark python,Data Engineer sql etl kafka spark python B.Tech/B.E. Junior (1-3 yrs)
Product Manager,DRDO,Chennai,Fresher (0-1 yr),"A/B Testing, Roadmapping, Product Strategy",MCA,ab testing roadmapping product strategy,Product Manager ab testing roadmapping product strategy MCA Fresher (0-1 yr)
Machine Learning Engineer,Khatabook,Remote,Lead (10+ yrs),"MLOps, Python, Kubernetes",B.Tech/B.E.,mlops python kubernetes,Machine Learning Engineer mlops python kubernetes B.Tech/B.E. Lead (10+ yrs)
Frontend Developer,DRDO,Remote,Junior (1-3 yrs),"JavaScript, Next.js, React, Figma, TypeScript, Tailwind CSS",B.Tech/B.E.,javascript nextjs react figma typescript tailwind cs,Frontend Developer javascript nextjs react figma typescript tailwind cs B.Tech/B.E. Junior (1-3 yrs)
Machine Learning Engineer,DRDO,Chandigarh,Fresher (0-1 yr),"TensorFlow, PyTorch, AWS, Kubernetes",B.Tech/B.E.,tensorflow pytorch aws kubernetes,Machine Learning Engineer tensorflow pytorch aws kubernetes B.Tech/B.E. Fresher (0-1 yr)
Software Engineer,Capgemini,Delhi,Junior (1-3 yrs),"Java, Python, System Design",MCA,java python system design,Software Engineer java python system design MCA Junior (1-3 yrs)
QA Engineer,Ola,Chandigarh,Mid (3-6 yrs),"Selenium, Manual Testing, JIRA, API Testing",B.Tech/B.E.,selenium manual testing jira api testing,QA Engineer selenium manual testing jira api testing B.Tech/B.E. Mid (3-6 yrs)
Cybersecurity Analyst,HAL,Delhi,Senior (6-10 yrs),"Network Security, Ethical Hacking, Python, Penetration Testing, SIEM",M.Tech/M.E.,network security ethical hacking python penetration testing siem,Cybersecurity Analyst network security ethical hacking python penetration testing siem M.Tech/M.E. Senior (6-10 yrs)
Backend Developer,Postman,Bangalore,Fresher (0-1 yr),"MongoDB, Docker, Redis",B.Sc (CS/IT),mongodb docker redis,Backend Developer mongodb docker redis B.Sc (CS/IT) Fresher (0-1 yr)
Python Developer,TCS,Pune,Lead (10+ yrs),"REST APIs, Django, PostgreSQL",B.Tech/B.E.,rest apis django postgresql,Python Developer rest apis django postgresql B.Tech/B.E. Lead (10+ yrs)
UI/UX Designer,Oracle,Kolkata,Fresher (0-1 yr),"Prototyping, User Research, Wireframing",B.Tech/B.E.,prototyping user research wireframing,UI/UX Designer prototyping user research wireframing B.Tech/B.E. Fresher (0-1 yr)
NLP Engineer,Flipkart,Bangalore,Fresher (0-1 yr),"TensorFlow, Python, LLMs, BERT, HuggingFace",B.Tech/B.E.,tensorflow python llm bert huggingface,NLP Engineer tensorflow python llm bert huggingface B.Tech/B.E. Fresher (0-1 yr)
Technical Lead,Microsoft,Remote,Lead (10+ yrs),"Agile, Code Review, System Design, Team Leadership, Microservices",BCA,agile code review system design team leadership microservices,Technical Lead agile code review system design team leadership microservices BCA Lead (10+ yrs)
React Developer,Tech Mahindra,Delhi,Lead (10+ yrs),"Next.js, React, TypeScript, JavaScript",BCA,nextjs react typescript javascript,React Developer nextjs react typescript javascript BCA Lead (10+ yrs)
React Developer,TCS,Pune,Mid (3-6 yrs),"Redux, Next.js, React, TypeScript, HTML/CSS",B.Tech/B.E.,redux nextjs react typescript htmlcss,React Developer redux nextjs react typescript htmlcss B.Tech/B.E. Mid (3-6 yrs)
Machine Learning Engineer,Setu,Kochi,Junior (1-3 yrs),"Docker, Kubernetes, PyTorch",BCA,docker kubernetes pytorch,Machine Learning Engineer docker kubernetes pytorch BCA Junior (1-3 yrs)
Full Stack Developer,Freshworks,Remote,Senior (6-10 yrs),"React, Docker, Python, AWS, Node.js, PostgreSQL",M.Tech/M.E.,react docker python aws nodejs postgresql,Full Stack Developer react docker python aws nodejs postgresql M.Tech/M.E. Senior (6-10 yrs)
